genero,idoso,parceiro,dependentes,tempo_contrato_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,forma_pagamento,cobranca_mensal,total_gasto,evasao
Feminino,0,Sim,Sim,50,Sim,Não,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Dois anos,Não,Transferência bancária,55.61,2407.85,0
Feminino,0,Não,Não,16,Sim,Sim,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,29.65,480.26,0
Feminino,0,Sim,Sim,72,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Não,Cartão de crédito,107.19,6733.93,1
Masculino,0,Não,Sim,51,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque enviado pelo correio,98.14,5369.56,1
Feminino,1,Sim,Não,15,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque enviado pelo correio,38.73,514.84,1
Masculino,0,Não,Sim,38,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Não,Cartão de crédito,105.51,3846.9,0
Masculino,1,Sim,Sim,71,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Um ano,Não,Cheque eletrônico,73.73,4925.39,1
Masculino,0,Sim,Não,72,Sim,Não,DSL,Não,Não,Sim,Não,Não,Sim,Mês a mês,Não,Cheque enviado pelo correio,95.05,6251.3,1
Masculino,0,Não,Sim,21,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Dois anos,Sim,Cheque eletrônico,83.13,1980.2,0
Masculino,0,Sim,Sim,16,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Não,Cartão de crédito,25.02,430.97,0
Feminino,0,Não,Não,67,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Um ano,Sim,Transferência bancária,42.87,3088.17,0
Feminino,0,Sim,Sim,65,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque eletrônico,60.27,3789.98,0
Feminino,0,Sim,Não,13,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Não,Sim,Um ano,Sim,Cheque enviado pelo correio,29.17,405.29,1
Feminino,0,Não,Sim,64,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,55.27,3527.35,0
Feminino,1,Não,Sim,61,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Mês a mês,Sim,Cartão de crédito,21.61,1304.15,0
Masculino,0,Sim,Não,32,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,106.35,3727.18,0
Feminino,0,Não,Não,12,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Um ano,Não,Cheque eletrônico,22.32,255.55,0
Feminino,0,Não,Sim,41,Sim,Não,DSL,Não,Sim,Sim,Não,Não,Sim,Um ano,Sim,Cheque enviado pelo correio,72.84,2619.22,0
Masculino,0,Não,Não,66,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Mês a mês,Sim,Transferência bancária,86.96,4963.14,0
Feminino,0,Sim,Sim,8,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cartão de crédito,47.28,417.44,0
Masculino,0,Sim,Sim,59,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Dois anos,Sim,Cheque enviado pelo correio,18.21,1170.4,0
Feminino,1,Não,Não,25,Sim,Não,DSL,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Não,Cheque eletrônico,73.4,1864.78,1
Masculino,0,Não,Sim,5,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cartão de crédito,64.5,307.53,0
Feminino,0,Não,Não,45,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Mês a mês,Sim,Cartão de crédito,36.69,1519.95,0
Feminino,0,Sim,Sim,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Cheque eletrônico,27.21,59.8,1
Masculino,0,Sim,Não,42,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Transferência bancária,97.78,3632.93,1
Masculino,0,Não,Não,38,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Não,Um ano,Não,Cheque eletrônico,37.5,1574.29,0
Masculino,0,Sim,Não,3,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cartão de crédito,60.5,170.76,1
Masculino,0,Sim,Sim,46,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cheque enviado pelo correio,96.79,4077.99,0
Masculino,0,Sim,Não,22,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Sim,Mês a mês,Sim,Cartão de crédito,109.54,2720.04,0
Masculino,0,Não,Não,33,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cheque enviado pelo correio,57.85,1848.11,0
Masculino,0,Sim,Não,32,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Dois anos,Sim,Transferência bancária,64.58,2348.24,0
Masculino,0,Não,Não,17,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Dois anos,Não,Cheque enviado pelo correio,89.06,1579.44,0
Feminino,0,Não,Não,56,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Dois anos,Sim,Cheque enviado pelo correio,33.31,1924.26,0
Feminino,0,Não,Não,3,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Não,Um ano,Sim,Transferência bancária,101.97,295.03,0
Masculino,1,Sim,Não,70,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Não,Não,Dois anos,Não,Cheque eletrônico,45.21,2937.44,0
Feminino,1,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque eletrônico,59.62,2576.53,0
Feminino,0,Não,Não,55,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Cheque eletrônico,111.84,6312.07,1
Feminino,0,Não,Sim,31,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Dois anos,Não,Cheque enviado pelo correio,115.02,3084.4,0
Feminino,0,Não,Não,21,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Transferência bancária,61.35,1251.84,0
Masculino,0,Não,Não,16,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Não,Não,Dois anos,Não,Cheque eletrônico,44.88,795.38,0
Feminino,1,Não,Não,17,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Dois anos,Sim,Cheque eletrônico,31.71,605.59,0
Masculino,0,Não,Sim,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Cartão de crédito,33.55,32.86,0
Feminino,1,Sim,Não,72,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,69.02,4746.7,0
Feminino,1,Sim,Não,65,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mês a mês,Sim,Cheque eletrônico,86.58,5655.28,0
Feminino,0,Não,Não,66,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,54.29,3156.35,0
Masculino,0,Sim,Não,37,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mês a mês,Não,Cheque enviado pelo correio,41.9,1368.2,1
Feminino,0,Não,Não,24,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Não,Não,Mês a mês,Não,Cheque eletrônico,18.31,378.7,0
Masculino,1,Sim,Não,62,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,47.05,3243.4,1
Feminino,0,Não,Sim,21,Sim,Não,DSL,Sim,Não,Não,Não,Sim,Sim,Mês a mês,Não,Cartão de crédito,80.98,1851.42,0
Masculino,1,Sim,Sim,37,Sim,Não,DSL,Não,Não,Não,Não,Não,Sim,Dois anos,Sim,Transferência bancária,92.1,3161.37,0
Feminino,0,Sim,Sim,35,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Não,Mês a mês,Não,Transferência bancária,99.47,3678.71,0
Masculino,0,Não,Sim,38,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,70.22,2981.12,0
Masculino,1,Sim,Não,53,Sim,Não,DSL,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Não,Cartão de crédito,110.23,6392.21,0
Feminino,0,Sim,Não,15,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,96.93,1319.83,0
Masculino,0,Sim,Não,42,Sim,Sim,DSL,Não,Não,Sim,Não,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,96.64,3811.56,1
Feminino,0,Não,Não,4,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Dois anos,Não,Cheque eletrônico,19.74,73.86,0
Feminino,0,Não,Não,39,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,22.89,878.21,0
Feminino,0,Não,Não,23,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Sim,Mês a mês,Não,Transferência bancária,94.53,2162.81,0
Feminino,0,Sim,Não,15,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Não,Dois anos,Sim,Transferência bancária,48.35,679.11,0
Feminino,1,Não,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Transferência bancária,46.25,613.44,0
Feminino,1,Sim,Não,70,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque eletrônico,47.58,2893.67,0
Feminino,0,Não,Sim,54,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Um ano,Sim,Cheque enviado pelo correio,93.2,5056.01,0
Feminino,0,Não,Não,38,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Transferência bancária,85.77,3118.48,0
Feminino,0,Não,Não,28,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mês a mês,Não,Cartão de crédito,22.96,702.0,1
Feminino,0,Não,Não,19,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Não,Um ano,Sim,Cheque eletrônico,97.13,2092.6,0
Feminino,1,Não,Sim,69,Sim,Sim,DSL,Não,Sim,Sim,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,61.77,3765.21,0
Masculino,0,Não,Não,64,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mês a mês,Sim,Transferência bancária,92.04,5799.68,0
Masculino,0,Sim,Não,4,Sim,Sim,DSL,Não,Não,Sim,Não,Sim,Não,Dois anos,Sim,Cheque enviado pelo correio,112.66,438.46,1
Feminino,0,Não,Sim,10,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Não,Cheque enviado pelo correio,81.65,699.12,1
Feminino,0,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,86.24,1147.06,1
Feminino,0,Sim,Não,69,Sim,Não,DSL,Não,Não,Não,Não,Não,Sim,Um ano,Sim,Cheque eletrônico,51.96,3273.1,0
Feminino,0,Sim,Sim,7,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,80.21,491.83,1
Feminino,0,Sim,Não,44,Sim,Sim,DSL,Não,Não,Sim,Não,Sim,Não,Mês a mês,Não,Transferência bancária,89.67,4427.17,1
Feminino,0,Sim,Não,23,Não,Sem serviço telefônico,DSL,Sim,Sim,Não,Não,Não,Sim,Mês a mês,Sim,Cheque enviado pelo correio,44.08,948.94,1
Feminino,0,Não,Não,2,Não,Sem serviço telefônico,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,51.11,103.96,1
Feminino,0,Sim,Sim,37,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Dois anos,Sim,Cheque eletrônico,26.98,1017.83,0
Masculino,0,Sim,Não,69,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Dois anos,Não,Transferência bancária,94.62,7507.43,0
Feminino,0,Não,Não,20,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,80.79,1773.54,1
Masculino,0,Sim,Sim,44,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Dois anos,Sim,Transferência bancária,56.39,2281.19,0
Feminino,0,Não,Sim,70,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque enviado pelo correio,71.31,5158.02,0
Feminino,0,Não,Sim,51,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mês a mês,Não,Cheque eletrônico,85.74,3748.9,0
Masculino,0,Não,Não,31,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mês a mês,Sim,Cheque eletrônico,36.32,1152.1,0
Feminino,1,Não,Não,41,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Um ano,Sim,Cheque enviado pelo correio,85.71,3962.72,1
Masculino,1,Sim,Sim,58,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Um ano,Não,Cheque eletrônico,80.85,4098.74,0
Feminino,0,Sim,Não,5,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,82.76,364.29,1
Feminino,1,Sim,Não,33,Não,Sem serviço telefônico,DSL,Sim,Sim,Não,Sim,Não,Sim,Mês a mês,Sim,Cartão de crédito,50.51,1438.03,1
Masculino,0,Não,Não,43,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Sim,Dois anos,Sim,Transferência bancária,33.08,1452.47,0
Feminino,0,Sim,Não,19,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Sim,Transferência bancária,57.12,1036.34,0
Masculino,0,Sim,Sim,32,Sim,Não,DSL,Não,Não,Sim,Não,Não,Sim,Um ano,Não,Cheque eletrônico,27.4,767.5,0
Feminino,0,Sim,Sim,3,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque enviado pelo correio,34.35,94.89,1
Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque eletrônico,73.39,82.32,0
Masculino,0,Sim,Sim,41,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Um ano,Sim,Cartão de crédito,110.54,4306.7,0
Feminino,0,Não,Não,48,Sim,Não,DSL,Não,Sim,Sim,Não,Não,Não,Mês a mês,Não,Cheque enviado pelo correio,40.28,1735.22,0
Feminino,0,Sim,Não,39,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Sim,Dois anos,Não,Cartão de crédito,71.66,2696.72,0
Masculino,0,Sim,Não,5,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cheque enviado pelo correio,33.8,160.06,1
Feminino,1,Sim,Não,11,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mês a mês,Sim,Cartão de crédito,71.69,826.35,0
Feminino,0,Não,Não,22,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Transferência bancária,93.45,1898.61,1
Feminino,0,Não,Não,64,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Não,Mês a mês,Sim,Transferência bancária,99.28,5412.18,0
Masculino,0,Sim,Não,12,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Um ano,Sim,Transferência bancária,87.97,1133.99,0
Masculino,0,Sim,Não,53,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,38.24,2028.23,1
Masculino,0,Não,Não,55,Sim,Não,DSL,Não,Sim,Não,Não,Sim,Sim,Mês a mês,Sim,Transferência bancária,62.97,3163.52,0
Masculino,0,Sim,Não,53,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,99.71,5159.61,0
Masculino,0,Sim,Sim,21,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mês a mês,Não,Transferência bancária,91.55,1897.05,1
Masculino,0,Sim,Sim,19,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Um ano,Sim,Cheque enviado pelo correio,98.29,2095.19,0
Masculino,0,Sim,Não,69,Sim,Sim,DSL,Sim,Sim,Não,Não,Não,Não,Dois anos,Sim,Cartão de crédito,27.51,1623.41,0
Masculino,0,Sim,Não,72,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,90.77,7378.28,0
Masculino,0,Sim,Não,66,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Sim,Cheque eletrônico,62.31,3540.18,1
Feminino,0,Sim,Não,59,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Sim,Dois anos,Sim,Cheque enviado pelo correio,53.69,3630.55,0
Masculino,0,Não,Sim,49,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mês a mês,Sim,Cheque enviado pelo correio,34.17,1677.37,0
Feminino,0,Sim,Não,59,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mês a mês,Não,Cheque eletrônico,41.81,2424.54,0
Feminino,1,Não,Não,23,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mês a mês,Sim,Transferência bancária,78.02,1917.92,1
Feminino,1,Sim,Não,3,Sim,Sim,DSL,Não,Não,Não,Sim,Sim,Não,Um ano,Sim,Cheque enviado pelo correio,88.21,227.13,0
Masculino,1,Não,Não,56,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,Não,Cheque enviado pelo correio,72.46,4463.41,0
Masculino,0,Sim,Não,58,Não,Sem serviço telefônico,Fibra óptica,Não,Sim,Sim,Sim,Não,Não,Dois anos,Sim,Transferência bancária,114.51,7445.93,0
Masculino,0,Não,Não,62,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mês a mês,Não,Cheque eletrônico,36.7,1978.08,0
Masculino,0,Sim,Não,18,Sim,Sim,DSL,Não,Não,Não,Não,Sim,Sim,Mês a mês,Sim,Cheque eletrônico,75.45,1345.4,1
Feminino,0,Não,Não,61,Sim,Sim,DSL,Sim,Não,Sim,Não,Não,Sim,Um ano,Não,Cheque eletrônico,92.28,5389.28,0
